Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time
_1462211675523_216232,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,15685,1,1,3137,3137,16061440,1,0,67,0,0,0,46,3590,301895680,1372475392,508035072,0,906,,,
_1462211675523_217955,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,63285,1,1,12657,12657,64803840,1,0,67,0,0,0,173,7270,308076544,1358798848,510132224,0,0,,,
_1462211675523_204994,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,50850,1,1,10170,10170,52070400,1,0,67,0,0,0,61,5080,307249152,1359392768,508559360,0,0,,,
_1462211675523_235767,,3698207,656,hadoop05,hive2,aggregation/aggregate,archiveMTA,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167016,311,0,8,1,1,3217395,1,1,643479,643479,3294612480,1,0,67,0,0,0,205,13180,325066752,1360707584,500695040,0,0,MAPREDUCE,1463663908623,1463664575680
_1462211675523_216771,,,,,,,,true,1,0,SUCCEEDED,31,0,119541,0,0,0,118685,167087,311,0,8,1,1,7072320,1,1,1414464,1414464,7242055680,1,0,67,0,0,0,465,19180,391938048,1344143360,481296384,0,0,,,
_1462211675523_211778,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167034,311,0,8,1,1,2830460,1,1,566092,566092,2898391040,1,0,67,0,0,0,192,11580,371154944,1344442368,483393536,0,0,,,
_1462211675523_208435,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,34695,1,1,6939,6939,35527680,1,0,67,0,0,0,152,7700,319447040,1344102400,510132224,0,0,,,
_1462211675523_242635,,136119,24,hadoop05,hive2,aggregation/aggregate,createArchiveViews,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167075,311,0,8,1,1,27550,1,1,5510,5510,28211200,1,0,67,0,0,0,106,4740,319631360,1371648000,509607936,0,0,MAPREDUCE,1463733701114,1463733718028
_1462211675523_230524,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167016,311,0,8,1,1,3938335,1,1,787667,787667,4032855040,1,0,67,0,0,0,239,13730,323506176,1362530304,479723520,0,763,,,
_1462211675523_211388,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166979,311,0,8,1,1,53520,1,1,10704,10704,54804480,1,0,67,0,0,0,143,7260,312549376,1366474752,510656512,0,0,,,
_1462211675523_228804,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167037,311,0,8,1,1,8338495,1,1,1667699,1667699,8538618880,1,0,67,0,0,0,367,21640,378843136,1362952192,466616320,0,0,,,
_1462211675523_224116,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167015,311,0,8,1,1,390510,1,1,78102,78102,399882240,1,0,67,0,0,0,95,8080,322916352,1369903104,509083648,0,0,,,
_1462211675523_209576,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167016,311,0,8,1,1,2461060,1,1,492212,492212,2520125440,1,0,67,0,0,0,116,10330,326823936,1357950976,482344960,0,0,,,
_1462211675523_216063,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167034,311,0,8,1,1,4261630,1,1,852326,852326,4363909120,1,0,67,0,0,0,330,15640,381186048,1364074496,488112128,0,0,,,
_1462211675523_230955,,,,,,,,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167164,311,0,8,1,1,816950,1,1,163390,163390,836556800,1,0,67,0,0,0,334,8630,313982976,1344425984,511705088,0,0,,,
_1462211675523_208841,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167036,311,0,8,1,1,1929945,1,1,385989,385989,1976263680,1,0,67,0,0,0,128,9490,324440064,1357598720,501219328,0,0,,,
_1462211675523_205311,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167015,311,0,8,1,1,260600,1,1,52120,52120,266854400,1,0,67,0,0,0,56,5170,321212416,1369919488,509083648,0,0,,,
_1462211675523_211694,,,,,,,,true,1,0,SUCCEEDED,31,0,119542,0,0,0,118686,167086,311,0,8,1,1,5348260,1,1,1069652,1069652,5476618240,1,0,67,0,0,0,434,17700,389091328,1356222464,476053504,0,0,,,
_1462211675523_224900,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167014,311,0,8,1,1,539580,1,1,107916,107916,552529920,1,0,67,0,0,0,270,9220,305823744,1357860864,506986496,0,0,,,
_1462211675523_217645,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,63525,1,1,12705,12705,65049600,1,0,67,0,0,0,85,6520,308723712,1347055616,509607936,0,0,,,
_1462211675523_243626,,1982672,352,hadoop06,hive2,aggregation/aggregate,populateAggregateViewTable,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167163,311,0,8,1,1,1688125,1,1,337625,337625,1728640000,1,0,67,0,0,0,250,12060,316014592,1362948096,496500736,0,0,MAPREDUCE,1463742867356,1463743212389
_1462211675523_233467,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167015,311,0,8,1,1,437565,1,1,87513,87513,448066560,1,0,67,0,0,0,148,8700,320393216,1360232448,506986496,0,0,,,
_1462211675523_213184,,,,,,,,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167164,311,0,8,1,1,854090,1,1,170818,170818,874588160,1,0,67,0,0,0,412,11140,314306560,1363296256,509083648,0,0,,,
_1462211675523_205706,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,49440,1,1,9888,9888,50626560,1,0,67,0,0,0,47,3290,294776832,1356148736,508035072,0,0,,,
_1462211675523_206134,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167015,311,0,8,1,1,1463490,1,1,292698,292698,1498613760,1,0,67,0,0,0,264,11280,328261632,1362448384,511705088,0,0,,,
_1462211675523_229357,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,27955,1,1,5591,5591,28625920,1,0,67,0,0,0,89,3380,312127488,1360515072,508035072,0,0,,,
_1462211675523_236434,,4201984,746,hadoop06,hive2,aggregation/aggregate,archiveACT,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167015,311,0,8,1,1,3666650,1,1,733330,733330,3754649600,1,0,67,0,0,0,152,12490,326012928,1359290368,499646464,0,0,MAPREDUCE,1463673253574,1463673992890
_1462211675523_234292,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,426620,1,1,85324,85324,436858880,1,0,67,0,0,0,69,6740,303112192,1344299008,508035072,0,0,,,
